ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2557713,2026-08-28T14:07:32,2026-08-28T14:10:05,sell,0.05,0.05,BTCUSD,78675.08,78876.5,78875.08,78075.08,,,-10.07,,,user
2557070,2026-08-28T13:40:50,2026-08-28T13:42:50,sell,0.03,0.03,XAUUSD,4603.314,4607.137,4607.137,4594.001,,,-11.5,,,user
2556996,2026-08-28T13:35:25,2026-08-28T13:37:42,buy,0.05,0.05,XAUUSD,4605.746,4602.308,4602.308,4614.308,,,-17.2,,,user
2556957,2026-08-28T13:31:52,2026-08-28T13:34:35,buy,0.05,0.05,XAUUSD,4602.497,4602.973,4597.935,4602.973,,,2.4,,,user
2555820,2026-08-28T11:08:01,2026-08-28T11:16:36,sell,0.02,0.02,XAUUSD,4597.098,4600.263,4600.263,4592,,,-6.3,,,user
2553743,2026-08-28T06:24:14,2026-08-28T06:30:16,buy,0.02,0.02,XAUUSD,4584.372,4584.872,4581.932,4584.872,,,1,,,user
2553431,2026-08-28T05:52:14,2026-08-28T06:22:16,buy,0.05,0.05,XAUUSD,4575.353,4583.353,4579.362,4583.353,,,40,,,user
2553504,2026-08-28T06:00:53,2026-08-28T06:13:00,buy,0.01,0.01,XAUUSD,4574.269,4583.269,4574.289,4583.269,,,9,,,user
2544338,2026-08-27T13:00:53,2026-08-27T13:01:01,sell,0.1,0.1,XAUUSD,4581.689,4585.292,,,,,-36,,,user
2544334,2026-08-27T13:00:44,2026-08-27T13:00:47,sell,0.1,0.1,XAUUSD,4581.281,4581.4710000000005,,,,,-1.9,,,user
2544329,2026-08-27T13:00:32,2026-08-27T13:00:39,sell,0.1,0.1,XAUUSD,4582.077,4581.921,,,,,1.6,,,user
2544322,2026-08-27T13:00:13,2026-08-27T13:00:25,sell,0.1,0.1,XAUUSD,4583.668,4582.5470000000005,,,,,11.2,,,user
2544313,2026-08-27T12:59:43,2026-08-27T13:00:07,buy,0.1,0.1,XAUUSD,4586.13,4583.235,,4587.571,,,-29,,,user
2544157,2026-08-27T12:50:23,2026-08-27T12:57:13,sell,0.05,0.05,XAUUSD,4583.308,4586.944,4586.944,4577.191,,,-18.2,,,user
